_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
187,East York Alternative S.S.,60,90.0,0.0,100.0,0.0,43.69499136,-79.32529564
188,East York C.I.,1003,85.6,2.6,94.9,2.5,43.69450873,-79.32735334
189,Eastdale C.I.,95,84.2,1.1,96.8,1.1,43.66592657,-79.34881892
190,Eastview P.S.,226,86.3,0.0,89.4,0.0,43.75906266,-79.19133529
191,Eatonville Junior School,131,96.2,0.0,95.4,0.0,43.63830795,-79.56700242
192,Ecole elementaire Charles-Sauriol,205,84.9,0.5,86.8,0.5,43.66767367,-79.45534963
193,Ecole elementaire etienne-Brule,151,76.8,1.3,86.1,1.3,43.75221224,-79.37159325
194,Ecole elementaire Felix-Leclerc,124,79.0,5.6,80.6,5.6,43.68969312,-79.56144563
195,Ecole elementaire Gabrielle-Roy,159,85.5,2.5,85.5,2.5,43.656787,-79.372213
196,Ecole elementaire Jeanne-Lajoie,252,82.1,0.8,85.7,0.8,43.73449677,-79.32149457
197,Ecole elementaire La Mosaique,273,88.6,5.5,90.8,5.1,43.68733045,-79.33053499
198,Ecole elementaire Laure-Riese,174,78.7,3.4,78.2,3.4,43.82246261,-79.27742207
199,Ecole elementaire Mathieu-Da-Costai,102,76.5,0.0,85.3,0.0,43.71782794,-79.47553470000001
200,Ecole elementaire Micheline-Saint-Cyr,49,81.6,0.0,71.4,0.0,43.59021886,-79.54378099
201,Ecole elementaire Paul-Demers,66,53.0,1.5,60.6,1.5,43.79195184,-79.36734039
202,Ecole elementaire Pierre-Elliott-Trudeau,213,89.2,4.2,86.9,4.2,43.65199104,-79.41409749
203,Ecole elementaire Toronto Ouest,156,80.8,2.6,90.4,2.6,43.65238363,-79.44123542
204,Ecole Secondaire etienne-Brule,281,81.9,2.5,92.9,2.5,43.75221224,-79.37159325
205,Ecole Secondaire Toronto Ouest,153,85.0,2.6,92.8,2.6,43.65238363,-79.44123542
206,Edgewood P.S.,119,98.3,0.0,98.3,0.0,43.76630546,-79.26581203
207,EEC Du Sacre-Coeur-Toronto,69,88.4,0.0,89.9,0.0,43.66825375,-79.42226809
208,EEC Georges-etienne-Cartier,233,88.8,0.9,91.0,0.9,43.67790389,-79.31947311
209,EEC Notre-Dame-De-Grce - Toronto,105,85.7,1.9,86.7,1.9,43.67946894,-79.55953947
210,EEC Sainte-Madeleine,156,89.1,0.6,90.4,0.6,43.76196879,-79.32271315
211,EEC Sainte-Marguerite-D'Youville,215,87.4,3.7,86.5,3.7,43.636066,-79.505891
212,EEC Saint-Jean-De-Lalande,76,88.2,2.6,88.2,2.6,43.80475002,-79.26408826
213,EEC Saint-Michel-Toronto,100,87.0,1.0,90.0,1.0,43.77745328,-79.15700499
214,EEC Saint-Noel-Chabanel-Toronto,98,85.7,1.0,85.7,1.0,43.73677565,-79.56076094
215,Eglinton Jr P.S.,280,94.3,2.1,93.6,2.1,43.70790375,-79.39084683
216,EIC Monseigneur-De-Charbonnel,62,88.7,3.2,90.3,3.2,43.78698147,-79.42121369
217,EIC Pere-Philippe-Lamarche,74,93.2,0.0,93.2,0.0,43.73888853,-79.24070576
218,EIC Saint-Frere-Andre,74,87.8,4.1,87.8,4.1,43.65238363,-79.44123542
219,Elia Middle School,290,88.3,0.3,94.5,0.3,43.75379932,-79.49845831
220,Elizabeth Simcoe Jr P.S.,203,94.1,5.4,94.6,5.4,43.73815196,-79.20603487
221,Elkhorn P.S.,243,96.7,2.5,96.3,2.5,43.77121539,-79.38006244
222,Ellesmere-Statton P.S.,460,91.5,0.9,94.8,0.9,43.76362361,-79.287572
223,Elmbank JMA,245,95.1,2.4,95.5,2.4,43.7365019,-79.59004707
224,Elmlea Jr School,229,88.6,3.1,89.1,3.1,43.71562668,-79.55057615
225,Emery C.I.,484,85.5,1.2,93.8,1.2,43.74872271,-79.53955698
226,Emily Carr P.S.,229,96.9,1.3,97.4,1.3,43.80502239,-79.20693586
227,Epiphany of Our Lord Catholic Academy,141,81.6,0.0,86.5,0.0,43.7989581,-79.32894025
228,Equinox Holistic Alternative,132,78.0,22.0,78.0,22.0,43.67387327,-79.32307649
229,Ernest P.S.,69,95.7,1.4,91.3,1.4,43.79141547,-79.33738257
230,ESC Monseigneur-de-Charbonnel,140,81.4,2.1,96.4,2.1,43.78698147,-79.42121369
231,ESC Pere-Philippe-Lamarche,81,80.2,0.0,93.8,0.0,43.73888853,-79.24070576
232,ESC Saint-Frere-Andre,142,81.0,3.5,94.4,3.5,43.65238363,-79.44123542
233,Essex Jr & Sr P.S.,208,85.6,3.4,90.9,3.4,43.66825375,-79.42226809
234,Etienne Brule Jr School,105,96.2,2.9,94.3,2.9,43.63561874,-79.48968446
235,Etobicoke C.I.,957,86.4,1.8,96.6,1.8,43.6500842,-79.52229621
236,Etobicoke School of The Arts,929,80.1,4.3,93.4,4.3,43.63073221,-79.50414852
237,Etobicoke Year Round Alternative Centre,26,88.5,3.8,96.2,3.8,43.63385785,-79.55127611
238,F H Miller Jr P.S.,77,92.2,2.6,93.5,2.6,43.68400577,-79.45889809
239,Fairbank JMS,230,87.4,3.0,91.7,3.0,43.69435391,-79.44941775
240,Fairbank Memorial Community School,78,92.3,0.0,93.6,0.0,43.69170324,-79.4554057
241,Fairglen Jr P.S.,236,97.5,0.0,99.2,0.0,43.78493638,-79.32223819
242,Fairmount P.S.,308,95.1,1.6,96.4,1.6,43.71975809,-79.23089418
243,Father Henry Carr Catholic S.S.,850,83.8,0.5,94.5,0.5,43.73584248,-79.59237755
244,Father John Redmond Catholic S.S.,1187,83.0,3.0,94.4,3.0,43.59514135,-79.51653877
245,Father Serra C.S.,386,88.9,3.4,92.7,3.4,43.68624343,-79.53684468
246,Faywood Arts-Based Curriculum School,324,91.4,4.6,88.9,4.6,43.73985504,-79.44669733
247,Fenside P.S.,124,91.9,0.8,94.4,0.8,43.76458052,-79.32912658
248,Fern Avenue Jr & Sr P.S.,545,92.5,2.6,96.5,2.6,43.64518032,-79.44611284
249,Finch P.S.,151,92.7,2.6,92.7,2.6,43.78383308,-79.39497420000001
250,Firgrove P.S.,208,93.3,0.0,94.2,0.0,43.75200089,-79.51991086
251,Fisherville Sr P.S.,159,79.2,1.3,83.0,1.3,43.78456549,-79.44100625
252,Fleming P.S.,192,98.4,0.0,99.5,0.0,43.81536122,-79.20371416
253,Flemington P.S.,133,97.7,0.0,96.2,0.0,43.72012525,-79.44424566
254,Forest Hill C.I.,928,87.0,1.3,96.0,1.3,43.70305826,-79.42134278
255,Forest Hill Jr & Sr P.S.,675,95.0,1.6,95.0,1.6,43.69539527,-79.414124
256,Forest Manor P.S.,393,93.9,0.3,94.7,0.3,43.77104274,-79.34306679999999
257,Francis Libermann Catholic H.S.,878,86.0,0.8,95.4,0.8,43.80739234,-79.27430784
258,Frank Oke S.S.,74,82.4,2.7,97.3,2.7,43.67751242,-79.48875423
259,Frankland Community School,233,93.6,3.4,94.0,3.4,43.67713734,-79.34993745
260,Galloway Road P.S.,148,89.2,1.4,92.6,1.4,43.76498481,-79.19683417
261,Garden Avenue Jr P.S.,172,97.7,2.3,95.9,2.3,43.64320011,-79.4491237
262,Gateway P.S.,522,93.9,1.7,93.1,1.7,43.71172622,-79.33100915
263,General Brock P.S.,302,94.0,1.7,94.0,1.7,43.7184085,-79.27486723
264,General Crerar P.S.,285,93.3,2.1,96.1,2.1,43.74568677,-79.27957766
265,General Mercer Jr P.S.,130,90.8,4.6,90.8,4.6,43.67905973,-79.46401246
266,George Anderson P.S.,91,100.0,0.0,96.7,0.0,43.70545353,-79.47894806
267,George B Little P.S.,294,95.2,0.3,96.3,0.3,43.77119941,-79.20811045
268,George Harvey C.I.,401,80.0,0.7,85.8,0.7,43.68454651,-79.47369919
269,George P Mackie Jr P.S.,77,93.5,5.2,93.5,5.2,43.73932731,-79.21199397
270,George Peck P.S.,187,90.4,1.1,93.6,0.5,43.73825848,-79.29363519
271,George R Gauld Jr School,75,96.0,0.0,100.0,0.0,43.62063709,-79.49851943
272,George S Henry Academy,338,81.1,1.2,92.3,1.2,43.76435996,-79.33992003
273,George Syme Community School,226,92.0,2.2,93.8,2.2,43.66925138,-79.49112677
274,George Webster Elementary,538,87.7,0.7,90.0,0.7,43.7010489,-79.29976062
275,Georges Vanier S.S.,747,76.2,0.3,86.1,0.3,43.7842923,-79.35049619
276,Givins/Shaw Jr P.S.,194,92.8,3.6,93.3,3.6,43.64640766,-79.41758429
277,Glamorgan Jr P.S.,327,97.6,0.0,96.9,0.0,43.77130031,-79.28955383
278,Gledhill Jr P.S.,258,96.1,2.7,96.9,2.7,43.68765348,-79.30951421
279,Glen Ames Sr P.S.,414,90.8,1.7,97.6,1.7,43.67395983,-79.29833223
280,Glen Park P.S.,307,96.4,2.9,96.1,2.9,43.71317225,-79.43638199
281,Glen Ravine Jr P.S.,179,98.9,0.6,98.9,0.6,43.73822463,-79.25405895
282,Glenview Sr P.S.,768,90.9,1.0,98.0,1.0,43.71997644,-79.40952469999999
283,Golf Road Jr P.S.,190,98.4,0.0,99.5,0.0,43.76365832,-79.21697024
284,Gordon A Brown Middle School,368,90.5,4.1,94.0,4.1,43.70786931,-79.30535295
285,Gosford P.S.,150,95.3,0.0,98.0,0.0,43.76431849,-79.52132419
286,Gracedale P.S.,363,93.9,1.1,93.7,1.1,43.75319754,-79.56184211
287,Gracefield P.S.,140,90.7,0.7,94.3,0.7,43.70932053,-79.49134131
288,Greenholme JMS,234,96.2,0.0,98.7,0.0,43.73507154,-79.58290811
289,Greenland P.S.,81,96.3,2.5,95.1,2.5,43.73360704,-79.33853293
290,Greenwood S.S.,123,61.8,0.0,64.2,0.0,43.68283873,-79.33408956
291,Grenoble P.S.,623,95.5,0.8,95.5,0.8,43.71527454,-79.33225251
292,Grey Owl Jr P.S.,143,91.6,2.8,91.6,2.8,43.8039893,-79.21330032
293,Guildwood Jr P.S.,63,92.1,7.9,92.1,7.9,43.75082107,-79.19998668
294,Gulfstream P.S.,435,91.3,1.1,94.0,1.1,43.73907798,-79.5420098
295,H A Halbert Jr P.S.,136,95.6,0.7,96.3,0.7,43.72764960000001,-79.23173607
296,H J Alexander Community School,304,91.8,1.6,91.4,1.6,43.70249383,-79.52054426
297,Harbord C.I.,1014,84.4,2.9,96.1,2.9,43.66128952,-79.41426662
298,Harrison P.S.,102,97.1,1.0,97.1,1.0,43.75736847,-79.37730861
299,Harwood P.S.,130,90.8,0.8,96.2,0.8,43.67618591,-79.47841248
300,Hawthorne II Bilingual Alternative Jr,119,93.3,5.9,92.4,5.9,43.66825375,-79.42226809
301,Heather Heights Jr P.S.,118,94.1,0.8,92.4,0.8,43.77515588,-79.21506873
302,Henry Hudson Senior P.S.,287,92.7,0.7,96.9,0.7,43.77773718,-79.21446737
303,Henry Kelsey Senior P.S.,298,94.0,0.3,98.3,0.3,43.79834559,-79.27702821
304,Heritage Park P.S.,237,95.4,0.8,95.4,0.8,43.82135089,-79.20772016
305,Heydon Park S.S.,91,75.8,2.2,97.8,2.2,43.65496461,-79.39453475
306,High Park Alternative Jr,96,82.3,13.5,84.4,13.5,43.66142319,-79.47283128
307,Highcastle P.S.,225,97.8,0.4,97.3,0.4,43.786761600000006,-79.21249563
308,Highfield Jr School,381,93.4,0.5,93.4,0.5,43.74557567,-79.58920656
309,Highland Creek P.S.,138,97.1,0.7,96.4,0.7,43.78350089999999,-79.17844629
310,Highland Heights Jr P.S.,115,96.5,0.9,96.5,0.9,43.79441991,-79.30026235
311,Highland Jr High School,482,94.0,1.0,96.9,1.0,43.80686038,-79.35544809
312,Highview P.S.,101,89.1,0.0,90.1,0.0,43.72195105,-79.49723027
313,Hillcrest Community School,224,94.2,4.5,94.2,4.5,43.67904245,-79.41584478
314,Hillmount P.S.,121,93.4,2.5,94.2,2.5,43.79940759,-79.35072651
315,Hilltop Middle School,558,91.9,3.6,94.3,3.6,43.68946274,-79.53306701
316,Hodgson Sr P.S.,528,93.9,2.7,95.6,2.7,43.701095,-79.38479329
317,Hollycrest Middle School,475,90.7,3.4,94.3,3.4,43.65610422,-79.58270785
318,Hollywood P.S.,224,97.3,0.9,97.3,0.9,43.77051851,-79.39182913
319,Holy Angels C.S.,368,88.0,2.2,90.2,2.2,43.62840926,-79.51765726
320,Holy Child C.S.,227,87.7,0.0,91.2,0.0,43.72888587,-79.61918187
321,Holy Cross C.S.,239,87.4,0.8,88.3,0.8,43.68998755,-79.34067637
322,Holy Family C.S.,167,82.0,1.2,83.2,1.2,43.63875022,-79.434911
323,Holy Name C.S.,234,87.6,1.7,91.0,1.7,43.677347499999996,-79.34728484
324,Holy Rosary C.S.,193,87.6,1.6,87.6,1.6,43.68504731,-79.41404533
325,Holy Spirit C.S.,324,84.3,0.0,85.8,0.0,43.78120775,-79.30309624
326,Horizon Alternative Sr School,67,85.1,7.5,91.0,7.5,43.65797846,-79.42199861
327,Howard Jr P.S.,328,94.8,4.3,94.8,4.3,43.65029872,-79.45199586
328,Humber Summit Middle School,450,88.4,1.1,90.7,1.1,43.75056475,-79.56452219
329,Humber Valley Village JMS,291,91.1,5.5,92.8,5.5,43.6655283,-79.52733737
330,Humbercrest P.S.,494,94.5,2.6,96.4,2.6,43.66045265,-79.49105537
331,Humberside C.I.,1195,84.1,2.6,96.2,2.6,43.65994272,-79.4706428
332,Humberwood Downs JMA,554,95.8,0.4,96.4,0.4,43.72888587,-79.61918187
333,Humewood Community School,410,93.7,3.9,95.1,3.7,43.68663509,-79.42802045
334,Hunter's Glen Jr P.S.,302,92.1,0.7,94.4,0.7,43.74571225,-79.26012199
335,Huron Street Jr P.S.,202,93.6,4.5,95.5,4.5,43.67103818,-79.4024111
336,Immaculate Conception C.S.,340,92.4,0.0,93.2,0.0,43.69768014,-79.4778217
337,Immaculate Heart of Mary C.S.,120,90.8,1.7,90.8,1.7,43.6961448,-79.262458
338,Indian Road Crescent Jr P.S.,204,94.1,4.4,95.1,4.4,43.66252873,-79.46007790000002
339,Inglenook Community School,50,78.0,4.0,88.0,6.0,43.65397529,-79.35940072
340,Inglewood Heights Jr P.S.,140,91.4,1.4,90.7,1.4,43.78046514,-79.29090549
341,Ionview P.S.,262,93.9,0.0,94.7,0.0,43.73761289,-79.27469827
342,Iroquois Jr P.S.,240,99.2,0.0,99.2,0.0,43.80268016,-79.26944081
343,Island Public/Natural Science School,154,95.5,3.2,96.1,3.2,43.61570028,-79.37838814
344,Islington JMS,342,92.1,1.8,93.0,1.8,43.64748282,-79.52794669
345,J B Tyrrell Sr P.S.,415,90.8,1.2,96.4,1.4,43.78887877,-79.32417507
346,J G Workman P.S.,136,93.4,0.0,94.1,0.0,43.70719126,-79.26712793
347,J R Wilcox Community School,186,94.6,2.7,93.5,2.7,43.69494679,-79.43630526
348,Jack Miner Sr P.S.,197,93.4,1.0,97.5,1.0,43.74968863,-79.18696834
349,Jackman Avenue Jr P.S.,414,94.4,4.1,94.4,4.3,43.68065022,-79.35393536
350,James Cardinal McGuigan Catholic H.S.,794,76.8,0.4,85.1,0.4,43.76328957,-79.49379859999999
351,James Culnan C.S.,346,91.3,0.6,93.6,0.6,43.66110712,-79.48558425
352,James S Bell JMS,318,91.2,4.1,92.8,4.1,43.59435423,-79.5301917
353,Jarvis C.I.,638,86.8,0.9,95.5,0.8,43.6662522,-79.37803485
354,Jean Vanier Catholic S.S.,821,82.7,0.5,91.6,0.4,43.73793993,-79.25841437
355,Jesse Ketchum Jr & Sr P.S.,345,89.6,3.2,90.7,3.2,43.67298262,-79.39213923
356,John A Leslie P.S.,383,93.0,0.3,93.7,0.3,43.71412189,-79.24885208
357,John Buchan Sr P.S.,184,90.2,0.0,94.0,0.0,43.78520343,-79.30085689
358,John D Parker Jr School,253,97.6,0.4,96.4,0.4,43.75338681,-79.59579099
359,John English JMS,698,91.7,3.6,93.6,3.6,43.61185573,-79.49441800000001
360,John Fisher Jr P.S.,292,92.8,3.8,94.5,3.8,43.71192825,-79.39746938
361,John G Althouse Middle School,480,93.1,2.9,96.0,2.9,43.66811641,-79.55416146
362,John G Diefenbaker P.S.,171,94.7,2.9,96.5,2.9,43.80229503,-79.17186953
363,John McCrae P.S.,404,93.3,1.5,94.8,1.5,43.74404425,-79.23988651
364,John Polanyi C.I.,743,79.1,1.6,87.9,1.6,43.71780895,-79.43985531
365,John Ross Robertson Jr P.S.,372,96.2,2.4,96.2,2.4,43.71832598,-79.40886429999999
366,John Wanless Jr P.S.,443,98.9,1.1,98.6,1.1,43.72877873,-79.41179965
367,Joseph Brant Sr P.S.,459,86.9,1.1,90.8,1.1,43.76704404,-79.17549755
368,Joseph Howe Sr P.S.,392,91.3,1.5,97.4,1.5,43.78580785,-79.13729821
369,Josyf Cardinal Slipyj C.S.,395,84.8,7.8,84.8,7.8,43.6594752,-79.5660254
370,Joyce P.S.,154,98.7,0.0,95.5,0.0,43.70977539,-79.46375749
371,Kapapamahchakwe - Wandering Spirit School,153,68.0,7.8,73.9,8.5,43.67914023,-79.33663606
372,Karen Kain School of The Arts,172,86.6,8.7,90.7,8.7,43.63112353,-79.50020735
373,Keele Street Jr P.S.,347,90.2,4.0,92.2,4.0,43.65750747,-79.46159657
374,Keelesdale Jr P.S.,78,96.2,0.0,97.4,0.0,43.6869571,-79.47694631
375,Kennedy P.S.,415,97.6,0.0,96.4,0.0,43.81883592,-79.30818052
376,Kensington Community School,95,90.5,3.2,91.6,3.2,43.65639782,-79.40573152
377,Kew Beach Jr P.S.,312,94.9,3.8,94.6,3.8,43.66846424,-79.30272732
378,Kimberley Jr P.S.,160,100.0,0.0,100.0,0.0,43.68261997,-79.29912788
379,King Edward Jr & Sr P.S.,499,90.6,2.6,95.0,2.6,43.65824412,-79.40740893
380,King George Jr P.S.,123,95.9,2.4,94.3,2.4,43.6631627,-79.48688675
381,Kingslake P.S.,128,94.5,2.3,91.4,2.3,43.7848105,-79.34572893
382,Kingsview Village Jr School,260,83.8,2.3,87.7,2.3,43.69786666,-79.55078913
383,Kipling C.I.,410,75.4,0.2,89.5,0.2,43.68528812,-79.56235372
384,Knob Hill P.S.,366,93.2,0.3,93.4,0.3,43.74529228,-79.24978503
385,Lakeshore C.I.,603,81.6,2.5,94.0,2.5,43.60156342,-79.51916064
386,Lamberton P.S.,189,92.1,1.6,94.7,1.6,43.753654299999994,-79.50282449
387,Lambton Kingsway JMS,463,91.6,3.9,94.2,3.5,43.65865722,-79.50931481
388,Lambton Park Community School,79,72.2,0.0,74.7,0.0,43.66757598,-79.49830749
389,L'amoreaux C.I.,443,81.3,1.4,90.7,1.4,43.80291777,-79.31807375
390,Lanor JMS,218,94.5,3.7,95.4,3.7,43.60966673,-79.54476956
391,Lawrence Heights Middle School,148,89.9,2.7,92.6,2.7,43.72083225,-79.45107725
392,Lawrence Park C.I.,1178,85.3,2.4,97.3,2.3,43.72222271,-79.41043908
393,Leaside High School,958,86.5,1.5,97.7,1.5,43.71112409,-79.37269411
394,Ledbury Park EMS,384,94.3,1.3,94.3,1.3,43.72739047,-79.42732263
395,Lescon P.S.,112,84.8,2.7,84.8,2.7,43.78084349,-79.35749461
396,Leslieville Jr P.S.,231,95.7,0.9,97.4,0.9,43.66732077,-79.33240772
397,Lester B Pearson C.I.,1291,88.0,0.7,98.3,0.7,43.80333392,-79.22539867
398,Lester B Pearson Elementary,385,94.8,2.3,97.9,2.1,43.79231944,-79.38746232
399,Lillian P.S.,138,98.6,0.0,96.4,0.0,43.79782137,-79.4103985
400,Lord Dufferin Jr & Sr P.S.,306,95.8,0.7,96.7,0.7,43.66082454,-79.36695506
401,Lord Lansdowne Jr P.S.,174,95.4,3.4,96.0,3.4,43.65895304,-79.40190985
402,Lord Roberts Jr P.S.,252,96.4,0.4,96.8,0.4,43.74142643,-79.2636597
403,Loretto Abbey Catholic S.S.,904,86.7,1.5,97.7,1.5,43.74129632,-79.41065656
404,Loretto College School,418,84.9,0.5,96.9,0.5,43.67573671,-79.44324695
405,Lucy Maud Montgomery P.S.,133,95.5,0.0,98.5,0.0,43.79691679,-79.20936572
406,Lucy McCormick Sr School,51,33.3,5.9,80.4,5.9,43.66463261,-79.46017997
407,Lynngate Jr P.S.,104,92.3,2.9,93.3,2.9,43.77646901,-79.30071632
408,Lynnwood Heights Jr P.S.,101,92.1,2.0,93.1,2.0,43.79658396,-79.29051029
409,Macklin P.S.,340,95.0,0.6,95.9,0.6,43.82199191,-79.26769422
410,Madonna Catholic S.S.,634,84.2,0.2,92.9,0.2,43.72951508,-79.4774808
411,Malvern C.I.,1107,85.2,2.8,96.1,2.8,43.68291415,-79.29293632
412,Malvern Jr P.S.,236,96.2,0.8,95.8,0.8,43.79783946,-79.23325194
413,Manhattan Park Jr P.S.,65,90.8,3.1,89.2,3.1,43.753353999999995,-79.29530112
414,Maple Leaf P.S.,160,91.3,4.4,93.1,4.4,43.71485064,-79.49027522
415,Maplewood High School,93,86.0,5.4,94.6,4.3,43.75889785,-79.19489463
416,Marc Garneau C.I.,1629,83.2,0.6,95.0,0.6,43.70897569,-79.33496795
417,Market Lane Jr & Sr P.S.,191,91.6,1.6,92.1,1.6,43.64985038,-79.36474140000001
418,Marshall McLuhan Catholic S.S.,1032,87.3,0.7,96.1,0.7,43.70760025,-79.40973516
419,Martingrove C.I.,1088,86.8,0.9,97.1,0.9,43.67338277,-79.56073964
420,Mary Shadd P.S.,310,94.5,0.6,96.1,0.6,43.814395700000006,-79.21832404
421,Mary Ward Catholic S.S.,1002,87.5,1.2,96.9,1.1,43.81575342,-79.30394007
422,Maryvale P.S.,180,89.4,2.2,92.8,1.7,43.75467112,-79.30791157
423,Mason Road Jr P.S.,209,89.5,0.5,90.4,0.5,43.73925479,-79.22568299
424,Maurice Cody Jr P.S.,374,96.0,2.1,96.3,2.1,43.70481966,-79.3774482
425,McKee P.S.,427,97.2,0.9,97.9,0.9,43.77292432,-79.41664769
426,McMurrich Jr P.S.,350,92.9,4.0,93.1,4.0,43.67807637,-79.43106195
427,Meadowvale P.S.,177,91.0,1.7,96.0,1.7,43.79551101,-79.16406818
428,Melody Village Jr School,124,99.2,0.8,97.6,0.8,43.73813475,-79.59484258
429,Michael Power/St Joseph H.S.,1818,84.6,2.0,95.5,2.0,43.65928999,-79.58198408
430,Military Trail P.S.,319,90.3,0.6,91.2,0.6,43.78911549,-79.19711697
431,Mill Valley Jr School,83,92.8,7.2,92.8,7.2,43.64418939,-79.58697157
432,Milliken P.S.,184,96.2,1.6,96.7,1.6,43.81658655,-79.28849695
433,Millwood Jr School,241,97.5,2.1,97.5,2.1,43.63336228,-79.57711952
434,Milne Valley Middle School,575,89.4,1.6,93.7,1.6,43.74720205,-79.32670912
435,Monarch Park C.I.,775,86.8,2.3,96.0,2.3,43.67928073,-79.32277189
436,Monsignor Fraser College - Alternate Study,106,82.1,1.9,95.3,1.9,43.66979946,-79.37715337
437,Monsignor Fraser College - Isabella,14,42.9,7.1,71.4,7.1,43.66979946,-79.37715337
438,Monsignor Fraser College - Midland,16,87.5,0.0,100.0,0.0,43.80106916,-79.28571749
439,Monsignor Fraser College - Midland North,28,89.3,0.0,96.4,0.0,43.80106916,-79.28571749
440,Monsignor Fraser College - Midtown,26,69.2,0.0,96.2,0.0,43.706595,-79.39996075
441,Monsignor Fraser College - Norfinch,73,80.8,0.0,93.2,0.0,43.75780953,-79.52704295
442,Monsignor Fraser College - Northeast,64,78.1,0.0,92.2,0.0,43.8218115,-79.27033145
443,Monsignor Fraser College - Southwest,99,75.8,1.0,94.9,1.0,43.66613477,-79.45644834
444,Monsignor Fraser College - St. Martin,16,62.5,0.0,100.0,0.0,43.66717452,-79.36442585
445,Monsignor John Corrigan C.S.,158,87.3,0.6,88.0,0.6,43.75157005,-79.60501369
446,Monsignor Percy Johnson Catholic H.S.,936,84.9,0.9,94.7,0.9,43.72069467,-79.57201689
447,Montrose Jr P.S.,112,99.1,0.9,98.2,0.9,43.65868159,-79.41884372
448,Morrish P.S.,235,94.9,0.4,97.9,0.4,43.79318792,-79.17927003
449,Morse Street Jr P.S.,323,96.6,1.9,96.9,1.9,43.66016692,-79.34016669
450,Mother Cabrini C.S.,136,87.5,2.2,89.0,2.2,43.66377811,-79.58630809
451,Mountview Alternative Jr,63,93.7,4.8,93.7,4.8,43.66353227,-79.48981138
452,Muirhead P.S.,97,96.9,2.1,90.7,2.1,43.77888402,-79.33745018
453,Native Learning Centre,15,66.7,6.7,86.7,6.7,43.66360843,-79.37917817
454,Nativity of Our Lord C.S.,322,86.0,2.8,87.6,2.8,43.65312324,-79.57537018
455,Neil McNeil High School,822,87.1,1.7,96.4,1.6,43.67923485,-79.28309716
456,Nelson Mandela Park P.S.,234,94.0,2.1,94.9,2.1,43.65835275,-79.36060291
457,Newtonbrook S.S.,749,80.6,1.7,89.9,1.7,43.79354914,-79.42624259
458,Niagara Street Jr P.S.,125,92.0,1.6,96.8,1.6,43.64393746,-79.40825293
459,Norman Cook Jr P.S.,83,95.2,1.2,96.4,1.2,43.71903913,-79.25779513
460,Norman Ingram P.S.,109,92.7,3.7,94.5,3.7,43.73995245,-79.34960615
461,Norseman JMS,581,92.9,2.1,96.7,2.1,43.63430526,-79.51632975
462,North Agincourt Jr P.S.,267,97.4,1.1,98.1,1.1,43.79645371,-79.27621279
463,North Albion C.I.,757,85.1,0.1,98.0,0.0,43.74714157,-79.58514278
464,North Bendale Jr P.S.,75,90.7,2.7,94.7,2.7,43.77045371,-79.24763647
465,North Bridlewood Jr P.S.,136,94.1,1.5,95.6,1.5,43.78891636,-79.31858708
466,North East Year Round Alternative,29,86.2,3.4,93.1,3.4,43.7842923,-79.35049619
467,North Kipling JMS,469,91.9,0.6,94.5,0.6,43.75176209,-79.58489255
468,North Preparatory Jr P.S.,122,95.1,0.8,96.7,0.8,43.70548233,-79.42038503
469,North Toronto C.I.,1286,86.2,1.2,97.0,1.2,43.70969341,-79.39723033
470,North West Year Round Alternative,14,71.4,0.0,100.0,0.0,43.78456549,-79.44100625
471,Northern S.S.,1678,85.3,3.1,95.8,3.0,43.7105371,-79.3901643
472,Northlea EMS,560,95.9,1.6,97.7,1.6,43.71462362,-79.37017345
473,Northview Heights S.S.,1490,84.6,1.1,93.7,1.1,43.77442921,-79.44632478
474,Norway Jr P.S.,185,94.6,3.8,96.2,3.8,43.67627905,-79.3066687
475,Notre Dame Catholic H.S.,656,84.6,0.3,96.5,0.3,43.68068578,-79.29313138
476,Oakdale Park Middle School,417,91.6,0.7,95.2,0.7,43.74746507,-79.51199206
477,Oakridge Jr P.S.,265,88.7,0.8,86.0,0.8,43.69496075,-79.28254283
478,Oakwood C.I.,359,83.3,3.3,94.7,3.3,43.67865589,-79.43637901
479,Oasis Alternative,72,75.0,9.7,88.9,9.7,43.64572203,-79.39822258
480,O'Connor P.S.,80,86.3,0.0,91.3,0.0,43.71650733,-79.30415213
481,Ogden Jr P.S.,116,96.6,0.9,94.8,0.9,43.65001362,-79.39512686
482,Orde Street Jr P.S.,243,96.3,0.8,92.6,0.8,43.65862749,-79.39226008
483,Oriole Park Jr P.S.,156,96.2,3.2,95.5,3.2,43.70257155,-79.40969328
484,Ossington/Old Orchard Jr P.S.,188,95.7,3.2,95.2,3.2,43.65270767,-79.42259976
485,Our Lady of Fatima C.S.,558,85.8,1.8,86.7,1.8,43.71015994,-79.29361584
486,Our Lady of Grace C.S.,194,87.1,0.5,93.3,0.5,43.81169988,-79.27408966
487,Our Lady of Guadalupe C.S.,121,83.5,0.8,84.3,0.8,43.78953291,-79.35496656
488,Our Lady of Lourdes C.S.,383,86.7,0.0,87.5,0.0,43.66604349,-79.37469556
489,Our Lady of Peace C.S.,458,88.9,3.3,93.0,3.3,43.64651225,-79.54107815
